movieId,title,genres,year,clean_title,genre_list,combined_tags,rating_count,average_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",pixar pixar fun,215,3.92
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,"['Adventure', 'Children', 'Fantasy']",fantasy magic board game robin williams game,110,3.43
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,"['Comedy', 'Romance']",moldy old,52,3.26
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",,7,2.36
5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,['Comedy'],pregnancy remake,49,3.07
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,"['Action', 'Crime', 'Thriller']",,102,3.95
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,"['Comedy', 'Romance']",remake,54,3.19
8,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck,"['Adventure', 'Children']",,8,2.88
9,Sudden Death (1995),Action,1995.0,Sudden Death,['Action'],,16,3.12
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,"['Action', 'Adventure', 'Thriller']",,132,3.5
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The","['Comedy', 'Drama', 'Romance']",politics president,70,3.67
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,"['Comedy', 'Horror']",,19,2.42
13,Balto (1995),Adventure|Animation|Children,1995.0,Balto,"['Adventure', 'Animation', 'Children']",,8,3.12
14,Nixon (1995),Drama,1995.0,Nixon,['Drama'],politics president,18,3.83
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,"['Action', 'Adventure', 'Romance']",,13,3.0
16,Casino (1995),Crime|Drama,1995.0,Casino,"['Crime', 'Drama']",mafia,82,3.93
17,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility,"['Drama', 'Romance']",jane austen,67,3.78
18,Four Rooms (1995),Comedy,1995.0,Four Rooms,['Comedy'],,20,3.7
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls,['Comedy'],,88,2.73
